省,市,累计,1-10,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,3-1,3-2,
湖北,,67217,41,4,17,59,77,72,105,69,105,180,323,371,1291,840,1032,1220,1347,1921,2103,2345,3156,2987,2447,2841,2147,2531,2097,1638,13797,4801,2431,1843,1926,1772,1746,775,436,366,630,398,499,401,409,318,423,570,196,114,
湖北,武汉市,49368,41,4,17,59,77,60,105,62,70,77,46,80,892,315,356,378,576,894,1033,1242,1967,1766,1501,1985,1379,1920,1552,1104,12523,3910,1923,1548,1690,1600,1660,615,319,314,541,348,464,370,383,313,420,565,193,111,
湖北,黄石市,1014,0,0,0,0,0,0,0,0,0,0,31,5,17,33,27,55,41,43,82,71,104,57,69,68,57,45,30,39,37,32,37,3,0,0,0,2,7,5,4,4,3,3,2,0,0,1,0,0,
湖北,十堰市,672,0,0,0,0,0,0,0,0,1,4,15,20,25,23,31,31,27,35,44,35,27,35,42,43,29,14,24,31,26,23,12,5,10,14,12,5,13,3,8,2,2,0,0,0,0,1,0,0,
湖北,宜昌市,931,0,0,0,0,0,0,0,0,1,0,19,11,20,12,54,50,109,77,39,60,44,67,47,23,78,38,23,12,26,67,18,0,0,9,3,3,4,0,3,7,2,1,2,2,0,0,0,0,
湖北,襄阳市,1175,0,0,0,0,0,0,0,0,0,0,2,34,34,61,32,123,61,94,107,84,103,52,51,69,81,31,44,25,13,10,17,16,11,8,2,3,3,2,0,1,1,0,0,0,0,0,0,0,
湖北,鄂州市,1391,0,0,0,0,0,0,0,0,0,1,0,19,37,27,39,66,38,51,28,26,50,41,48,98,70,86,65,71,195,69,67,38,44,65,4,25,5,2,4,4,2,2,2,0,1,1,0,0,
湖北,荆门市,928,0,0,0,0,0,0,0,1,7,13,17,52,24,28,49,36,24,78,16,55,22,86,45,35,75,-22,15,40,184,16,6,7,-9,0,1,5,6,2,4,2,0,2,1,1,0,1,2,1,
湖北,孝感市,3518,0,0,0,0,0,0,0,0,22,4,29,45,73,101,125,142,87,121,169,202,342,424,255,172,123,105,101,109,123,135,105,87,78,41,24,66,17,2,14,22,17,19,15,1,1,0,0,0,
湖北,荆州市,1580,0,0,0,0,0,0,0,6,2,2,23,14,24,30,50,70,66,46,166,114,100,88,84,56,56,48,30,35,283,42,43,12,11,36,4,12,7,6,8,0,2,1,2,0,0,0,1,0,
